NS1_ASFIS,NS1_Name,NS1_Scientific name,ASFIS_2022_Ref,JG Notes,ASFIS_2022 match,Catch_quantities_2021,Issue
EOJ,,Eopsetta jordani,EOJ,New species added in 2022 NS1,Match,36.449,FALSE
EPR,,Epinephelus areolatus,EPR,New species added in 2022 NS1,Match,66.176,FALSE
EPY,,Epinephelus cyanopodus,EPY,New species added in 2022 NS1,Match,888.725,FALSE
ESU,,Setipinna tenuifilis,ESU,New species added in 2022 NS1,Match,20.5,FALSE
ESY,,Setipinna taty,ESY,New species added in 2022 NS1,Match,2432.294,FALSE
EUB,,Eusphyra blochii,EUB,New species added in 2022 NS1,Match,202.863,FALSE
EWC,,Epinephelus coeruleopunctatus,#N/A,New species added in 2022 NS1,No match/missing,14.952,TRUE
EWE,,Epinephelus epistictus,EWE,New species added in 2022 NS1,Match,14.848,FALSE
EWF,,Epinephelus fuscoguttatus,EWF,New species added in 2022 NS1,Match,4224.889,FALSE
EWR,,Epinephelus retouti,EWR,New species added in 2022 NS1,Match,422.316,FALSE
EWV,,Epinephelus faveatus,EWV,New species added in 2022 NS1,Match,434.2,FALSE
EWW,,Epinephelus longispinis,EWW,New species added in 2022 NS1,Match,439.25,FALSE
EYB,,Thryssa baelama,EYB,New species added in 2022 NS1,Match,948.8954575,FALSE
EYH,,Thryssa hamiltonii,EYH,New species added in 2022 NS1,Match,3702.15,FALSE
EYK,,Thryssa kammalensis,EYK,New species added in 2022 NS1,Match,527.739,FALSE
EYT,,Thryssa setirostris,EYT,New species added in 2022 NS1,Match,323.165,FALSE
EZO,,Epinephelus spilotoceps,EZO,New species added in 2022 NS1,Match,225.752,FALSE
EZR,,Epinephelus radiatus,EZR,New species added in 2022 NS1,Match,61.618,FALSE
FCG,,Ctenopharyngodon idellus,#N/A,New species added in 2022 NS1,No match/missing,0.730090644,TRUE
FCW,,Atherinomorus lacunosus,FCW,New species added in 2022 NS1,Match,5943.841,FALSE
FDP,,Hyporhamphus dussumieri,#N/A,New species added in 2022 NS1,No match/missing,4.107,TRUE
FHS,,Centriscus scutatus,FHS,New species added in 2022 NS1,Match,0.134130536,FALSE
FLP,,Penaeus chinensis,FLP,New species added in 2022 NS1,Match,582.22,FALSE
FQB,,Hypoatherina temminckii,FQB,New species added in 2022 NS1,Match,574.2244588,FALSE
GCA,,Gracila albomarginata,GCA,New species added in 2022 NS1,Match,1855.470197,FALSE
GEF,,Gerres filamentosus,GEF,New species added in 2022 NS1,Match,75.497,FALSE
GEJ,,Gerres oyena,GEJ,New species added in 2022 NS1,Match,56.548,FALSE
GES,,Gempylus serpens,GES,New species added in 2022 NS1,Match,778.41,FALSE
GMR,,Gymnocranius griseus,GMR,New species added in 2022 NS1,Match,17625.80888,FALSE
GOU,,Glossogobius giuris,GOU,New species added in 2022 NS1,Match,9.820823237,FALSE
GUQ,,Centrophorus squamosus,GUQ,New species added in 2022 NS1,Match,5.185,FALSE
GVS,,Sargassum muticum,GVS,New species added in 2022 NS1,Match,38968.179,FALSE
GZM,,Gazza minuta,GZM,New species added in 2022 NS1,Match,5.4,FALSE
HEH,,Hemigaleus microstoma,HEH,New species added in 2022 NS1,Match,0.16,FALSE
HIX,,Hilsa kelee,HIX,New species added in 2022 NS1,Match,433.912,FALSE
HJC,,Rhinecanthus aculeatus,HJC,New species added in 2022 NS1,Match,95.739,FALSE
HKD,,Herklotsichthys dispilonotus,#N/A,New species added in 2022 NS1,No match/missing,2051.933,TRUE
HNM,,Heniochus acuminatus,HNM,New species added in 2022 NS1,Match,0.3,FALSE
HQR,,Harpiosquilla raphidea,HQR,New species added in 2022 NS1,Match,450.461,FALSE
HRR,,Chrysochir aureus,HRR,New species added in 2022 NS1,Match,508.995,FALSE
IEN,,Saurida longimanus,IEN,New species added in 2022 NS1,Match,925.332,FALSE
IET,,Platax pinnatus,IET,New species added in 2022 NS1,Match,29.555,FALSE
IIX,,Cephalopholis aitha,#N/A,New species added in 2022 NS1,No match/missing,715.5968149,TRUE
JBK,,Cheilinus chlorourus,JBK,New species added in 2022 NS1,Match,131.846,FALSE
JCS,,Johnius borneensis,JCS,New species added in 2022 NS1,Match,128.631,FALSE
JIP,,Anampses caeruleopunctatus,JIP,New species added in 2022 NS1,Match,0.052919768,FALSE
JOA,,Johnius amblycephalus,JOA,New species added in 2022 NS1,Match,540.56,FALSE
JWY,,Alepes kleinii,JWY,New species added in 2022 NS1,Match,1550.823,FALSE
KBR,,Argyrops spinifer,KBR,New species added in 2022 NS1,Match,7924.00933,FALSE
KPM,,Carpilius maculatus,KPM,New species added in 2022 NS1,Match,2838.598893,FALSE
KYV,,Kyphosus vaigiensis,KYV,New species added in 2022 NS1,Match,136.114,FALSE
LAG,,Lampris guttatus,LAG,New species added in 2022 NS1,Match,547.7390074,FALSE
LBR,,Gymnocranius elongatus,#N/A,New species added in 2022 NS1,No match/missing,0.35,TRUE
LGS,,Aurigequula fasciata,LGS,New species added in 2022 NS1,Match,1577.812,FALSE
LJB,,Lutjanus bohar,LJB,New species added in 2022 NS1,Match,8.177,FALSE
LKR,,Otolithes ruber,LKR,New species added in 2022 NS1,Match,253.558,FALSE
LOB,,Lobotes surinamensis,LOB,New species added in 2022 NS1,Match,1070.481866,FALSE
LRK,,Paracaesio kusakarii,LRK,New species added in 2022 NS1,Match,4122.687,FALSE
LRO,,Selar boops,LRO,New species added in 2022 NS1,Match,1145.061,FALSE
LSJ,,Alepes djedaba,LSJ,New species added in 2022 NS1,Match,593.535,FALSE
LSN,,Alepes melanoptera,LSN,New species added in 2022 NS1,Match,655.6741238,FALSE
LSV,,Alepes vari,LSV,New species added in 2022 NS1,Match,2324.912,FALSE
LUB,,Lutjanus spp,SNA,New species added in 2022 NS1,No match/missing,1.038,TRUE
LWT,,Lutjanus timorensis,LWT,New species added in 2022 NS1,Match,364.329,FALSE
LZX,,Lethrinus spp,LZX,New species added in 2022 NS1,Match,4.37,FALSE
MAK,,Isurus glaucus,#N/A,New species added in 2022 NS1,No match/missing,1111.556,TRUE
MAK,,Isurus spp,MAK,New species added in 2022 NS1,Match,3.935,FALSE
MBG,,Ambassis gymnocephalus,MBG,New species added in 2022 NS1,Match,670.666,FALSE
MCB,,Congresox talabon,MCB,New species added in 2022 NS1,Match,163.912,FALSE
MCO,,Macrochirichthys macrochirus,MCO,New species added in 2022 NS1,Match,354.846,FALSE
MEN,,Melichthys niger,MEN,New species added in 2022 NS1,Match,7.76,FALSE
MIL,,Chanos chanos,MIL,New species added in 2022 NS1,Match,1187.241,FALSE
MOJ,,Gerres erythrourus,#N/A,New species added in 2022 NS1,No match/missing,7464.718305,TRUE
MOO,,Mene maculata,MOO,New species added in 2022 NS1,Match,953.992,FALSE
MOU,,Monodactylus argenteus,MOU,New species added in 2022 NS1,Match,5.101,FALSE
MUV,,Mulloidichthys flavolineatus,MUV,New species added in 2022 NS1,Match,18.56,FALSE
MYN,,Hemibagrus nemurus,MYN,New species added in 2022 NS1,Match,17.302,FALSE
MYN,,Mystus nemurus,#N/A,New species added in 2022 NS1,No match/missing,997.624,TRUE
MZP,,Mystacoleucus padangensis,MZP,New species added in 2022 NS1,Match,32.232,FALSE
,,Abudefduf bengalensis,#N/A,New species added in 2022 NS1,No match/missing,58.484,TRUE
,,Acropoma argentistigma,#N/A,New species added in 2022 NS1,No match/missing,94.973,TRUE
,,Amphidromus javanicus,#N/A,New species added in 2022 NS1,No match/missing,8.346,TRUE
,,Apogonichthyoides melas,#N/A,New species added in 2022 NS1,No match/missing,54.29541026,TRUE
,,Atherinomorus duodecimalis,#N/A,New species added in 2022 NS1,No match/missing,1117.894,TRUE
,,Barbonymus balleroides,#N/A,New species added in 2022 NS1,No match/missing,4.253,TRUE
,,Cambarellus patzcuarensis,#N/A,New species added in 2022 NS1,No match/missing,296.888,TRUE
,,Cetoscarus ocellatus,#N/A,New species added in 2022 NS1,No match/missing,6.378,TRUE
,,Cheilopogon arcticeps,#N/A,New species added in 2022 NS1,No match/missing,5037.412763,TRUE
,,Emperor Pinkear,#N/A,New species added in 2022 NS1,No match/missing,1.33,TRUE
,,Equulites laterofenestra,#N/A,New species added in 2022 NS1,No match/missing,149.016,TRUE
,,Euristhmus microceps,#N/A,New species added in 2022 NS1,No match/missing,31.686,TRUE
,,Fenneropenaeus indicus,#N/A,New species added in 2022 NS1,No match/missing,3304.163,TRUE
,,Gymnocranius griseus ,#N/A,New species added in 2022 NS1,No match/missing,1.08,TRUE
,,Helotes sexlineatus,#N/A,New species added in 2022 NS1,No match/missing,3810.998,TRUE
,,Heniochus singularius,#N/A,New species added in 2022 NS1,No match/missing,0.02490342,TRUE
,,Irolita westraliensis,#N/A,New species added in 2022 NS1,No match/missing,0.121,TRUE
,,Liopropoma randalli,#N/A,New species added in 2022 NS1,No match/missing,7697.025,TRUE
,,Macrobranchium assamensis,#N/A,New species added in 2022 NS1,No match/missing,0.002,TRUE
,,Megokris granulosus,#N/A,New species added in 2022 NS1,No match/missing,1203.719,TRUE
,,Melichthys vidua,#N/A,New species added in 2022 NS1,No match/missing,28.202,TRUE
,,Paracaesio brevidentata,#N/A,New species added in 2022 NS1,No match/missing,3484.114153,TRUE
,,Pinjalo lewisi,#N/A,New species added in 2022 NS1,No match/missing,505.647,TRUE
,,Plectranthias retrofasciatus,#N/A,New species added in 2022 NS1,No match/missing,443.384,TRUE
,,Prionurus chrysurus,#N/A,New species added in 2022 NS1,No match/missing,8.086,TRUE
,,Pristis microdon,#N/A,New species added in 2022 NS1,No match/missing,19.739,TRUE
,,Rhinecanthus rectangulus,#N/A,New species added in 2022 NS1,No match/missing,9.933,TRUE
,,Rhinecanthus verrucosus,#N/A,New species added in 2022 NS1,No match/missing,0.023,TRUE
,,Strongylura incisa,#N/A,New species added in 2022 NS1,No match/missing,104.9,TRUE
,,Symphysanodon katayamai,#N/A,New species added in 2022 NS1,No match/missing,1097.309393,TRUE
,,Trachysalambria malaiana,#N/A,New species added in 2022 NS1,No match/missing,5.064,TRUE
,,Trygon sephen,#N/A,New species added in 2022 NS1,No match/missing,821.146,TRUE
NAP,,Parapenaeopsis sculptilis,NAP,New species added in 2022 NS1,Match,3648.895,FALSE
NBH,,Naso annulatus,NBH,New species added in 2022 NS1,Match,1.119989977,FALSE
NCG,,Chitala lopis,NCG,New species added in 2022 NS1,Match,0.91,FALSE
NCL,,Paphia undulata,#N/A,New species added in 2022 NS1,No match/missing,1494.8,TRUE
NDK,,Nibea soldado,NDK,New species added in 2022 NS1,Match,820.257,FALSE
NDQ,,Anadara antiquata,NDQ,New species added in 2022 NS1,Match,12631.063,FALSE
NJF,,Parascolopsis eriomma,NJF,New species added in 2022 NS1,Match,369.153,FALSE
NPC,,Pentapodus caninus,NPC,New species added in 2022 NS1,Match,270.287,FALSE
NPN,,Parapenaeopsis cornuta,NPN,New species added in 2022 NS1,Match,388.502,FALSE
NQX,,Pentapodus setosus,#N/A,New species added in 2022 NS1,No match/missing,3804.597,TRUE
NSC,,Scolopsis bilineata,NSC,New species added in 2022 NS1,Match,1020.415,FALSE
OAO,,Solea ovata,OAO,New species added in 2022 NS1,Match,17.405,FALSE
ODV,,Podophthalmus vigil,ODV,New species added in 2022 NS1,Match,7.147,FALSE
OFW,,Choerodon anchorago,#N/A,New species added in 2022 NS1,No match/missing,0.038,TRUE
OIL,,Ruvettus pretiosus,OIL,New species added in 2022 NS1,Match,55.512,FALSE
ORT,,Orectolobus maculatus,ORT,New species added in 2022 NS1,Match,0.134,FALSE
OTI,,Protonibea diacanthus,OTI,New species added in 2022 NS1,Match,3717.73,FALSE
PGP,,Pangasius Pangasius,PGP,New species added in 2022 NS1,Match,0.814,FALSE
PIE,,Ilisha melastoma,PIE,New species added in 2022 NS1,Match,1366.425,FALSE
PII,,Plotosus lineatus,PII,New species added in 2022 NS1,Match,1030.981,FALSE
PJL,,Pentaprion longimanus,PJL,New species added in 2022 NS1,Match,2306.825,FALSE
PJP,,Pinjalo pinjalo,PJP,New species added in 2022 NS1,Match,655.357,FALSE
PLM,,Plectropomus maculatus,PLM,New species added in 2022 NS1,Match,12.482,FALSE
PLS,,Pteroplatytrygon violacea,PLS,New species added in 2022 NS1,Match,82.95,FALSE
PNV,,Penaeus vannamei,PNV,New species added in 2022 NS1,Match,2343.491,FALSE
POO,,Trachinotus blochii,POO,New species added in 2022 NS1,Match,29.275,FALSE
PQD,,Pelates quadrilineatus,PQD,New species added in 2022 NS1,Match,0.146307595,FALSE
PRF,,Macrobrachium rosenbergii,PRF,New species added in 2022 NS1,Match,1636.945,FALSE
PRP,,Promethichthys prometheus,PRP,New species added in 2022 NS1,Match,508.0715024,FALSE
PUN,,Plotosus canius,PUN,New species added in 2022 NS1,Match,4779.861,FALSE
QRS,,Filimanus perplexa,QRS,New species added in 2022 NS1,Match,295.6,FALSE
QSQ,,Polydactylus microstomus,QSQ,New species added in 2022 NS1,Match,4040.226,FALSE
RAF,,Rastrelliger faughni,RAF,New species added in 2022 NS1,Match,102616.4749,FALSE
RCD,,Rhynchobatus djiddensis,RCD,New species added in 2022 NS1,Match,233.734,FALSE
RDF,,Hemitrygon fluviorum,RDF,New species added in 2022 NS1,Match,84.668,FALSE
RDK,,Neotrygon kuhlii,RDK,New species added in 2022 NS1,Match,1486.502,FALSE
RFP,,Parupeneus barberinus,RFP,New species added in 2022 NS1,Match,4059.31312,FALSE
RFQ,,Parupeneus indicus,RFQ,New species added in 2022 NS1,Match,3195.878,FALSE
RGI,,Gymnura micrura,RGI,New species added in 2022 NS1,Match,599.1902768,FALSE
RHA,,Rhizoprionodon acutus,RHA,New species added in 2022 NS1,Match,140.573,FALSE
RPX,,Parupeneus cinnabarius,#N/A,New species added in 2022 NS1,No match/missing,1443.745228,TRUE
RPY,,Parupeneus cyclostomus,RPY,New species added in 2022 NS1,Match,5744.737,FALSE
RQF,,Parupeneus heptacanthus,RQF,New species added in 2022 NS1,Match,588.63,FALSE
RRY,,Rhina ancylostoma,#N/A,New species added in 2022 NS1,No match/missing,25.896,TRUE
RTE,,Taeniura meyeni,#N/A,New species added in 2022 NS1,No match/missing,24.052,TRUE
RTY,,Taeniura lymma,RTY,New species added in 2022 NS1,Match,286.3599775,FALSE
RYH,,Aetomylaeus niehofii,RYH,New species added in 2022 NS1,Match,0.715,FALSE
SGY,,Strongylura strongylura,SGY,New species added in 2022 NS1,Match,134.152,FALSE
SMA,,Isurus oxyrinchus,SMA,New species added in 2022 NS1,Match,23.129,FALSE
SPS,,Drepane punctata,SPS,New species added in 2022 NS1,Match,712.592,FALSE
STL,,Encrasicholina punctifer,STL,New species added in 2022 NS1,Match,5275.236623,FALSE
SYQ,,Strongylura leiura,SYQ,New species added in 2022 NS1,Match,309.336,FALSE
SYW,,Synodus variegatus,SYW,New species added in 2022 NS1,Match,513.167,FALSE
TEC,,Pterocaesio chrysozona,TEC,New species added in 2022 NS1,Match,252.37,FALSE
THM,,Thyrsitoides marleyi,THM,New species added in 2022 NS1,Match,31.457,FALSE
THQ,,Thenus orientalis,THQ,New species added in 2022 NS1,Match,13.74395543,FALSE
TIG,,Galeocerdo cuvier,TIG,New species added in 2022 NS1,Match,278.0009702,FALSE
TIP,,Penaeus semisulcatus,TIP,New species added in 2022 NS1,Match,886.542,FALSE
TST,,Taractichthys steindachneri,TST,New species added in 2022 NS1,Match,19.641,FALSE
TUM,,Atule mate,TUM,New species added in 2022 NS1,Match,3663.288,FALSE
TZD,,Tor douronensis,TZD,New species added in 2022 NS1,Match,337.86,FALSE
UBH,,Turbo chrysostomus,UBH,New species added in 2022 NS1,Match,5.264,FALSE
UBP,,Cubiceps capensis,UBP,New species added in 2022 NS1,Match,1506.415,FALSE
UBV,,Pseudobalistes flavimarginatus,UBV,New species added in 2022 NS1,Match,506.636,FALSE
UHA,,Pseudorhombus arsius,UHA,New species added in 2022 NS1,Match,20.752,FALSE
UHG,,Pseudorhombus malayanus,UHG,New species added in 2022 NS1,Match,35.161,FALSE
UHJ,,Pseudorhombus javanicus,UHJ,New species added in 2022 NS1,Match,113.78,FALSE
ULE,,Ulua mentalis,ULE,New species added in 2022 NS1,Match,2156.729,FALSE
ULG,,Calotomus carolinus,ULG,New species added in 2022 NS1,Match,1.593,FALSE
UMP,,Amusium pleuronectes,UMP,New species added in 2022 NS1,Match,0.587,FALSE
USZ,,Scarus frenatus,USZ,New species added in 2022 NS1,Match,319.59,FALSE
UTI,,Secutor insidiator,UTI,New species added in 2022 NS1,Match,822.192,FALSE
UUS,,Chlorurus sordidus,UUS,New species added in 2022 NS1,Match,1.65,FALSE
VRA,,Variola albimarginata,VRA,New species added in 2022 NS1,Match,544.757,FALSE
VRL,,Variola louti,VRL,New species added in 2022 NS1,Match,11.674,FALSE
WBM,,Brotula multibarbata,WBM,New species added in 2022 NS1,Match,1.5,FALSE
WKP,,Penaeus latisulcatus,WKP,New species added in 2022 NS1,Match,1655.65,FALSE
YBS,,Sphyraena forsteri,YBS,New species added in 2022 NS1,Match,441.44,FALSE
YED,,Nibea albiflora,YED,New species added in 2022 NS1,Match,48.828,FALSE
YEO,,Atypopenaeus formosus,YEO,New species added in 2022 NS1,Match,285.773,FALSE
YLU,,Scylaroies squamosus,#N/A,New species added in 2022 NS1,No match/missing,194.539923,TRUE
YLU,,Scyllarides squammosus,YLU,New species added in 2022 NS1,Match,1.944,FALSE
YLW,,Scylla olivacea,YLW,New species added in 2022 NS1,Match,1304.584936,FALSE
YME,,Polymesoda erosa,YME,New species added in 2022 NS1,Match,472.74,FALSE
YOB,,Cynoglossus bilineatus,YOB,New species added in 2022 NS1,Match,208.778,FALSE
YOG,,Cynoglossus lingua,YOG,New species added in 2022 NS1,Match,3919.682,FALSE
YOR,,Cynoglossus arel,YOR,New species added in 2022 NS1,Match,6442.075,FALSE
YPX,,Cypselurus angusticeps,#N/A,New species added in 2022 NS1,No match/missing,1350.954,TRUE
YPX,,Cypselurus opisthopus,#N/A,New species added in 2022 NS1,No match/missing,116.9709993,TRUE
YRB,,Sphyraena obtusata,YRB,New species added in 2022 NS1,Match,244.0969613,FALSE
ZUE,,Zu elongatus,ZUE,New species added in 2022 NS1,Match,23.136,FALSE
MAR,,Epinephelus malabaricus,MAR,New species added in 2022 NS1,Match,58.35,FALSE
AJS,,Abalistes filamentosus,#N/A,New species added in 2022 NS1,No match/missing,7401.480171,TRUE
AJS,,Abalistes stellaris,AJS,New species added in 2022 NS1,Match,5781.826,FALSE
ALB,,Thunnus alalunga,ALB,New species added in 2022 NS1,Match,0.774,FALSE
ALM,,Aluterus monoceros,ALM,New species added in 2022 NS1,Match,0.24,FALSE
AQV,,Acanthurus olivaceus,AQV,New species added in 2022 NS1,Match,0.246,FALSE
ARQ,,Aphareus rutilans,ARQ,New species added in 2022 NS1,Match,205.871,FALSE
ATY,,Atelomycterus marmoratus,ATY,New species added in 2022 NS1,Match,2179.18,FALSE
AVR,,Aprion virescens,AVR,New species added in 2022 NS1,Match,1100.36,FALSE
AWX,,Arius crossocheilus,#N/A,New species added in 2022 NS1,No match/missing,358.178,TRUE
AXQ,,Acanthurus auranticavus,#N/A,New species added in 2022 NS1,No match/missing,15.102,TRUE
AXQ,,Acanthurus pyroferus,#N/A,New species added in 2022 NS1,No match/missing,81.107,TRUE
AXQ,,Acanthurus xanthopterus,#N/A,New species added in 2022 NS1,No match/missing,76.282,TRUE
AXZ,,Gymnothorax dorsalis,#N/A,New species added in 2022 NS1,No match/missing,46.30427258,TRUE
AXZ,,Gymnothorax javanicus,#N/A,New species added in 2022 NS1,No match/missing,88.036,TRUE
AYG,,Anyperodon leucogrammicus,AYG,New species added in 2022 NS1,Match,754.985,FALSE
BAB,,Sphyraena qenie,BAB,New species added in 2022 NS1,Match,3480.855,FALSE
BAF,,Ablennes hians,BAF,New species added in 2022 NS1,Match,22466.80672,FALSE
BAN,,Sphyraena putnamae,BAN,New species added in 2022 NS1,Match,1680.455,FALSE
BAT,,Platax boersii,#N/A,New species added in 2022 NS1,No match/missing,0.716,TRUE
BID,,Balistapus undulatus,BID,New species added in 2022 NS1,Match,70.768,FALSE
BKJ,,Euthynnus lineatus,BKJ,New species added in 2022 NS1,Match,21628.39044,FALSE
BMK,,Bolbometopon muricatum,BMK,New species added in 2022 NS1,Match,3177.4732,FALSE
BMZ,,Mystus nigriceps,BMZ,New species added in 2022 NS1,Match,146.835,FALSE
BQX,,Stromateus cinereus,#N/A,New species added in 2022 NS1,No match/missing,1009.9,TRUE
BSH,,Prionace glauca,BSH,New species added in 2022 NS1,Match,394.016,FALSE
BZV,,Pentapodus trivittatus,#N/A,New species added in 2022 NS1,No match/missing,14142.36101,TRUE
CBA,,Rachycentron canadum,CBA,New species added in 2022 NS1,Match,1725.822,FALSE
CEM,,Centrophorus moluccensis,CEM,New species added in 2022 NS1,Match,0.41,FALSE
CEW,,Elops hawaiensis,CEW,New species added in 2022 NS1,Match,802.95,FALSE
CFF,,Cephalopholis argus,CFF,New species added in 2022 NS1,Match,78.78,FALSE
CFI,,Cephalopholis miniata,CFI,New species added in 2022 NS1,Match,2286.043,FALSE
CFX,,Cephalopholis sexmaculata,CFX,New species added in 2022 NS1,Match,34.77266057,FALSE
CFY,,Cephalopholis cyanostigma,CFY,New species added in 2022 NS1,Match,1271.038,FALSE
CFZ,,Cephalopholis aurantia,CFZ,New species added in 2022 NS1,Match,189.0227478,FALSE
CJN,,Cookeolus japonicus,CJN,New species added in 2022 NS1,Match,322.6632771,FALSE
CNT,,Canthidermis maculata,CNT,New species added in 2022 NS1,Match,1.301,FALSE
CWI,,Cephalopholis igarashiensis,CWI,New species added in 2022 NS1,Match,1419.391567,FALSE
CWR,,Cephalopholis spiloparaea,CWR,New species added in 2022 NS1,Match,36.85,FALSE
CYP,,Centroscymnus crepidater,#N/A,New species added in 2022 NS1,No match/missing,7911.411603,TRUE
DDP,,Muraenesox bagio,DDP,New species added in 2022 NS1,Match,42.784,FALSE
DGP,,Diagramma pictum,DGP,New species added in 2022 NS1,Match,19908.403,FALSE
DGW,,Acanthurus mata,DGW,New species added in 2022 NS1,Match,164.839,FALSE
DHB,,Pateobatis bleekeri,DHB,New species added in 2022 NS1,Match,216.131,FALSE
DHG,,Maculabatis gerrardi,DHG,New species added in 2022 NS1,Match,115.357,FALSE
DHJ,,Himantura jenkinsii,#N/A,New species added in 2022 NS1,No match/missing,505.257,TRUE
DHL,,Himantura Undulata,DHL,New species added in 2022 NS1,Match,3127.291,FALSE
DHO,,Diodron holocanilus,#N/A,New species added in 2022 NS1,No match/missing,345.9,TRUE
DOT,,Gymnosarda unicolor,DOT,New species added in 2022 NS1,Match,6112.4606,FALSE
DPC,,Muraenesox cinereus,DPC,New species added in 2022 NS1,Match,1569.917,FALSE
DTB,,Dipterygonotus balteatus,DTB,New species added in 2022 NS1,Match,15.825,FALSE
DVM,,Helicolenus barathri,DVM,New species added in 2022 NS1,Match,120.1206883,FALSE
EBS,,Eumegistus illustris,EBS,New species added in 2022 NS1,Match,6740.01334,FALSE
ECP,,Cypselurus poecilopterus,ECP,New species added in 2022 NS1,Match,50.83604637,FALSE
